Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Joint,JMIEX,Jpmorgan Emerging Markets Equity Fund Class L,Purchase,11/10/2023,"$1,001 - $15,000",n/a
Joint,MADVX,Blackrock Eq Dividend I,Purchase,11/10/2023,"$1,001 - $15,000",n/a
Joint,PRCOX,T. Rowe Price U.S. Equity Research Fund,Purchase,11/10/2023,"$1,001 - $15,000",n/a
Joint,CISMX,Clarkston Partners Fund. Institutional Class,Purchase,11/10/2023,"$1,001 - $15,000",n/a
Joint,DFMLX,Df Dent Midcap Growth Fund - Institutional Plus,Purchase,11/10/2023,"$1,001 - $15,000",n/a
Joint,ARSIX,Amg River Road Small Cap Value Fund - Class I,Purchase,11/10/2023,"$1,001 - $15,000",n/a
Joint,ALTVX,Ab Municipal Income Fund Inc. - National Portfo,Purchase,12/11/2023,"$1,001 - $15,000",n/a
Joint,MRFIX,MFS Series Trust V  - MFS Research Fund Class I,Purchase,12/11/2023,"$1,001 - $15,000",n/a
Joint,JMIEX,Jpmorgan Emerging Markets Equity Fund Class L,Purchase,12/11/2023,"$1,001 - $15,000",n/a
Joint,WIAEX,Wasatch Small Cap Growth Fund Instl Cl,Sale (Partial),12/11/2023,"$1,001 - $15,000",n/a
Joint,BAFGX,Brown Advisory Growth Equity Fd - Institutional,Sale (Partial),12/11/2023,"$1,001 - $15,000",n/a
Joint,GSFTX,Columbia Dividend Income Fund Class I,Purchase,12/11/2023,"$1,001 - $15,000",n/a
Joint,PRINX,T. Rowe Price Summit Municipal Income Fund,Purchase,12/11/2023,"$1,001 - $15,000",n/a
Joint,PRCOX,T. Rowe Price U.S. Equity Research Fund,Purchase,12/11/2023,"$1,001 - $15,000",n/a
Joint,MADVX,Blackrock Eq Dividend I,Purchase,12/11/2023,"$1,001 - $15,000",n/a
Joint,WFMIX,Allspring Special Mid Cap Value Fund Insti Class,Purchase,12/12/2023,"$1,001 - $15,000",n/a
Joint,MRFIX,MFS Series Trust V  - MFS Research Fund Class I,Purchase,12/13/2023,"$1,001 - $15,000",n/a
Joint,PRCOX,T. Rowe Price U.S. Equity Research Fund,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Joint,GSFTX,Columbia Dividend Income Fund Class I,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Joint,BAFGX,Brown Advisory Growth Equity Fd - Institutional,Purchase,12/15/2023,"$1,001 - $15,000",n/a
Joint,ARSIX,Amg River Road Small Cap Value Fund - Class I,Purchase,12/15/2023,"$1,001 - $15,000",n/a
Joint,TROSX,T. Rowe Price Overseas Stock Fund,Purchase,12/15/2023,"$1,001 - $15,000",n/a
Self,SVAIX,Federated Hermes Strategic Value Dividend Fund C,Purchase,04/12/2023,"$1,001 - $15,000",n/a
