Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Joint,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Sale (Full),09/12/2023,"$1,001 - $15,000",n/a
Joint,--,Victory Market Neutral Inc Fund Class I,Sale (Full),09/12/2023,"$15,001 - $50,000",n/a
Joint,--,American High Income Municipal Bond Fund Class 2,Sale (Full),09/12/2023,"$250,001 - $500,000",n/a
Joint,--,American Bond Fund of America Class F2,Sale (Full),09/12/2023,"$50,001 - $100,000",n/a
Joint,--,Cohen & Steers Prefer Securities and Inc Fund Class I,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,DODIX,Dodge & Cox Income Fund,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,Global X FDS US PFD ETF,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,John Hancock Bond Fund Class I,Sale (Full),09/12/2023,"$50,001 - $100,000",n/a
Joint,--,Invesco Exchange Traded TR II Var Rate PFD ETF,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,Ishares TR PFD & Inc Ome Secs ETF,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,NHMRX,Nuveen High Yield Municipal Bd Fd Class I,Sale (Full),09/12/2023,"$250,001 - $500,000",n/a
Joint,FAFJX,Nuveen Limited Term Municipal Bond Fd Cl C,Sale (Full),09/12/2023,"$15,001 - $50,000",n/a
Joint,--,Principal Spectrum Preferred and Capital Securities Inc,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,Vaneck ETF TR High Yield Mun Index ETF,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,Vanguard Intermediate E-Term Tax-Exempt Fund Admiral,Sale (Full),09/12/2023,"$50,001 - $100,000",n/a
Joint,--,Victory Market Neutral Income fund Class I,Sale (Full),09/12/2023,"$100,001 - $250,000",n/a
Joint,--,Bank Southn Calif NA San Diego,Sale (Full),09/15/2023,"$100,001 - $250,000",n/a
Spouse,--,FT TGT Div Dbl 4Q21 RE,Sale (Partial),01/09/2023,"$15,001 - $50,000",n/a
Spouse,--,First Trust TGT Divid Dbl Play,Purchase,01/11/2023,"$15,001 - $50,000",n/a
Spouse,--,FT S&P TGT 25 1Q22 FERE,Sale (Partial),02/22/2023,"$50,001 - $100,000",n/a
Spouse,--,FT Cap Strg Op 22 Fere,Sale (Partial),02/22/2023,"$50,001 - $100,000",n/a
Spouse,--,First Trust Cap Strength Oppty 28 SA FE RE,Purchase,05/31/2023,"$50,001 - $100,000",n/a
Spouse,--,First Trust S&P Div Arst TGT 25 2Q23 MO FE RE,Purchase,04/30/2023,"$50,001 - $100,000",n/a
Spouse,--,JPMorgan Liquid Assets Money Mkt Premier CL,Purchase,02/28/2023,"$50,001 - $100,000",n/a
Joint,--,Bank Amer NA Charlotte NC CTF,Sale (Full),12/14/2023,"$100,001 - $250,000",n/a
Joint,--,US Bk Natl Assn Ins TL CTF,Sale (Full),12/14/2023,"$100,001 - $250,000",n/a
Self,--,Oklahoma St Dev Fin Auth Hlths Rev Adj,Sale (Full),10/23/2023,"$50,001 - $100,000",n/a
Spouse,--,First Trust S & P Div Arst TGT 25,Purchase,10/10/2023,"$50,001 - $100,000",n/a
Spouse,--,First Trust S & P Div Arst 25,Sale (Full),10/11/2023,"$50,001 - $100,000",n/a
Spouse,--,Catalyst Millburn Hedge Strategy,Sale (Full),12/27/2023,"$15,001 - $50,000",n/a
Spouse,--,First Trust S&P Div Arst TGT 25,Sale (Full),12/27/2023,"$50,001 - $100,000",n/a
Spouse,--,First Trust Cap Strength Oppty 25 SA,Sale (Full),12/27/2023,"$15,001 - $50,000",n/a
Self,--,First Trust TGT Divid Dbl Play,Sale (Full),01/11/2023,"$1,001 - $15,000",n/a
Self,--,First Trust TGT Divid Dbl Play,Purchase,01/11/2023,"$1,001 - $15,000",n/a
Self,--,Humphreys Fund I REIT,Purchase,11/07/2023,"$250,001 - $500,000",n/a
Self,--,Cavanal Hill Govt Sec Mmkt-Sel#0084,Purchase,12/31/2023,"$1,000,001 - $5,000,000",n/a
Self,--,Cleveland Cnty OK Eductnl Facs Rev,Purchase,12/14/2023,"$100,001 - $250,000",n/a
Self,--,Oklahoma Dev Fin Auth Lease Rev,Purchase,11/30/2023,"$15,001 - $50,000",n/a
Self,--,Oklahoma St Dev Fin Auth Hlths Rev,Purchase,10/06/2023,"$250,001 - $500,000",n/a
Self,--,Oklahoma St Dev Fin Auth Hlths Rev,Purchase,11/29/2023,"$250,001 - $500,000",n/a
Self,--,Oklahoma St Turnpike Auth Rev,Purchase,10/30/2023,"$15,001 - $50,000",n/a
Self,--,Purcell OK Public Wks Auth Sal Rev,Purchase,10/06/2023,"$15,001 - $50,000",n/a
Self,--,Tulsa Cnty OK Indl Auth Eductn Rev,Purchase,10/20/2023,"$15,001 - $50,000",n/a
Self,--,Univ OK Rev,Purchase,10/19/2023,"$15,001 - $50,000",n/a
Self,--,Cavanal Hill Govt Sec Mmkt-Sel #0084,Sale (Full),12/31/2023,"$1,000,001 - $5,000,000",n/a
