Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Joint,JABAX,Janus Henderson Balanced Fund - T Shares,Purchase,06/23/2023,"$1,001 - $15,000",n/a
Joint,TRAIX,T. Rowe Price Capital Appreciation Fund - I Clas,Purchase,06/23/2023,"$1,001 - $15,000",n/a
Joint,TRAIX,T. Rowe Price Capital Appreciation Fund - I Clas,Purchase,12/05/2023,"$1,001 - $15,000",n/a
Joint,TRAIX,T. Rowe Price Capital Appreciation Fund - I Clas,Purchase,12/29/2023,"$1,001 - $15,000",n/a
Spouse,XLE,SPDR Select Sector Fund - Energy Select Sector,Purchase,01/13/2023,"$1,001 - $15,000",n/a
Spouse,TRAIX,T. Rowe Price Capital Appreciation Fund - I Clas,Purchase,01/13/2023,"$1,001 - $15,000",n/a
Spouse,DODBX,Dodge & Cox Balanced Fund,Purchase,01/13/2023,"$1,001 - $15,000",n/a
