Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Spouse,--,Vanguard Inst Target Ret 2055 Fund,Sale (Full),11/21/2023,"$1,001 - $15,000",n/a
Spouse,ARGFX,Ariel Fund Investor Cl,Purchase,08/09/2023,"$1,001 - $15,000",n/a
Spouse,ARTZX,Artisan Sustainable Emerging Markets Fund - Inve,Purchase,08/09/2023,"$1,001 - $15,000",n/a
Spouse,BAFWX,Brown Advisory Sustainable Growth Fd Inst Shs,Purchase,08/09/2023,"$1,001 - $15,000",n/a
Spouse,HGXIX,Hartford Global Impact Fund Class I,Purchase,08/09/2023,"$1,001 - $15,000",n/a
Spouse,EUSB,iShares ESG Advanced Total USD Bond Market ETF,Purchase,08/09/2023,"$1,001 - $15,000",n/a
Spouse,JTQRX,John Hancock ESG International Equity Fund Class,Purchase,08/09/2023,"$1,001 - $15,000",n/a
Spouse,PTRSX,Pimco Total Return ESG Fund Class I3,Purchase,08/09/2023,"$1,001 - $15,000",n/a
Spouse,PRBLX,Parnassus Core Equity Fund-Investor Shares,Purchase,08/09/2023,"$1,001 - $15,000",n/a
Spouse,ESGV,Vanguard ESG U.S. Stock ETF,Purchase,08/09/2023,"$1,001 - $15,000",n/a
Spouse,VSGX,Vanguard ESG International Stock ETF,Purchase,08/09/2023,"$1,001 - $15,000",n/a
Spouse,--,American Global Growth Port A,Sale (Full),08/08/2023,"$1,001 - $15,000",n/a
Spouse,--,American Balanced A,Sale (Full),08/08/2023,"$1,001 - $15,000",n/a
Spouse,--,American Mutual A,Sale (Full),08/08/2023,"$1,001 - $15,000",n/a
Spouse,--,American Bond Fund of Amer A,Sale (Full),08/08/2023,"$1,001 - $15,000",n/a
Spouse,--,American Growth Fd of Amer A,Sale (Full),08/08/2023,"$1,001 - $15,000",n/a
Spouse,--,American SmallCap World A,Sale (Full),08/08/2023,"$1,001 - $15,000",n/a
