Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,--,US Treasury Bill (Note),Sale (Full),04/25/2023,"$15,001 - $50,000",n/a
Self,--,IBDO- iShares iBonds Dec 2023 Term Corporate ETF-IRA,Sale (Full),12/22/2023,"$15,001 - $50,000",n/a
Self,--,US Treasury Note (IRA),Purchase,12/26/2023,"$50,001 - $100,000",n/a
Self,--,US Treasury Note,Purchase,12/26/2023,"$15,001 - $50,000",n/a
Self,--,Property at Cross Creek (undeveloped) Lot #9; Block B; Seneca; SC,Sale (Full),09/15/2023,"$15,001 - $50,000",n/a
