Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Joint,--,FJCRRX FIRST TRUST CBOE VEST LARGE CAP DEEP BUFFERED 20; 39,Purchase,08/24/2023,"$1,001 - $15,000",n/a
Joint,--,FZBZQX FIRST TRUST CBOE VEST LARGE CAP DEEP BUFFERED 30; 12,Purchase,08/29/2023,"$1,001 - $15,000",n/a
