Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Spouse,GMDPX,Goldman Sachs Short Duration Government Fund Cla,Sale (Partial),12/15/2023,"$50,001 - $100,000",n/a
Spouse,IWD,iShares Russell 1000 Value ETF,Sale (Partial),12/27/2023,"$100,001 - $250,000",n/a
Spouse,IWD,iShares Russell 1000 Value ETF,Sale (Partial),12/29/2023,"$50,001 - $100,000",n/a
Self,IWM,iShares Russell 2000 ETF,Sale (Partial),02/13/2023,"$100,001 - $250,000",n/a
Self,IWD,iShares Russell 1000 Value ETF,Sale (Partial),02/13/2023,"$250,001 - $500,000",n/a
Self,IWF,iShares Russell 1000 Growth ETF,Sale (Partial),02/13/2023,"$250,001 - $500,000",n/a
Self,SPY,S&P 500 SPDR,Sale (Partial),02/13/2023,"$250,001 - $500,000",n/a
Self,GSWPX,Goldman Sachs Small/Mid Cap Growth Fund Class P,Sale (Partial),02/13/2023,"$100,001 - $250,000",n/a
Self,GAHPX,Goldman Sachs Emerging Markets Equity Fund Class,Sale (Partial),02/13/2023,"$50,001 - $100,000",n/a
Self,GSNPX,Goldman Sachs Strategic International Equity Fun,Sale (Partial),02/13/2023,"$50,001 - $100,000",n/a
Self,HEDJ,WisdomTree Europe Hedged Equity Fund,Sale (Partial),02/13/2023,"$50,001 - $100,000",n/a
Self,ACWX,iShares MSCI ACWI ex U.S. ETF,Sale (Partial),02/13/2023,"$50,001 - $100,000",n/a
Self,GANPX,Goldman Sachs Short Duration Tax Free Fund Class,Sale (Partial),02/13/2023,"$50,001 - $100,000",n/a
Self,GMCPX,Goldman Sachs Short Duration Bond Fund Class P S,Sale (Partial),02/13/2023,"$250,001 - $500,000",n/a
Self,GMDPX,Goldman Sachs Short Duration Government Fund Cla,Sale (Partial),02/13/2023,"$250,001 - $500,000",n/a
Self,GGNPX,Goldman Sachs High Yield Floating Rate Fund Clas,Sale (Partial),02/13/2023,"$50,001 - $100,000",n/a
Self,IWM,iShares Russell 2000 ETF,Sale (Partial),02/22/2023,"$100,001 - $250,000",n/a
Self,IWD,iShares Russell 1000 Value ETF,Sale (Partial),02/22/2023,"$500,001 - $1,000,000",n/a
Self,IWF,iShares Russell 1000 Growth ETF,Sale (Partial),02/22/2023,"$500,001 - $1,000,000",n/a
Self,SPY,S&P 500 SPDR,Sale (Partial),02/22/2023,"$250,001 - $500,000",n/a
Self,GSWPX,Goldman Sachs Small/Mid Cap Growth Fund Class P,Sale (Partial),02/22/2023,"$100,001 - $250,000",n/a
Self,GAHPX,Goldman Sachs Emerging Markets Equity Fund Class,Sale (Partial),02/22/2023,"$100,001 - $250,000",n/a
Self,GAHPX,Goldman Sachs Emerging Markets Equity Fund Class,Sale (Partial),02/22/2023,"$100,001 - $250,000",n/a
Self,HEDJ,WisdomTree Europe Hedged Equity Fund,Sale (Partial),02/22/2023,"$100,001 - $250,000",n/a
Self,ACWX,iShares MSCI ACWI ex U.S. ETF,Sale (Partial),02/22/2023,"$100,001 - $250,000",n/a
Self,GANPX,Goldman Sachs Short Duration Tax Free Fund Class,Sale (Partial),02/22/2023,"$50,001 - $100,000",n/a
Self,GMCPX,Goldman Sachs Short Duration Bond Fund Class P S,Sale (Partial),02/22/2023,"$250,001 - $500,000",n/a
Self,GMDPX,Goldman Sachs Short Duration Government Fund Cla,Sale (Partial),02/22/2023,"$250,001 - $500,000",n/a
Self,GGNPX,Goldman Sachs High Yield Floating Rate Fund Clas,Sale (Partial),02/22/2023,"$50,001 - $100,000",n/a
Self,GMCPX,Goldman Sachs Short Duration Bond Fund Class P S,Sale (Partial),03/14/2023,"$100,001 - $250,000",n/a
Self,GMDPX,Goldman Sachs Short Duration Government Fund Cla,Sale (Partial),03/14/2023,"$100,001 - $250,000",n/a
Self,IWD,iShares Russell 1000 Value ETF,Sale (Partial),06/22/2023,"$50,001 - $100,000",n/a
Self,IWF,iShares Russell 1000 Growth ETF,Sale (Partial),06/22/2023,"$50,001 - $100,000",n/a
Self,SPY,S&P 500 SPDR,Sale (Partial),06/22/2023,"$100,001 - $250,000",n/a
Self,GSWPX,Goldman Sachs Small/Mid Cap Growth Fund Class P,Sale (Partial),06/22/2023,"$15,001 - $50,000",n/a
Self,HEDJ,WisdomTree Europe Hedged Equity Fund,Sale (Partial),06/22/2023,"$50,001 - $100,000",n/a
Self,ACWX,iShares MSCI ACWI ex U.S. ETF,Sale (Partial),06/22/2023,"$15,001 - $50,000",n/a
Self,GMCPX,Goldman Sachs Short Duration Bond Fund Class P S,Sale (Partial),08/22/2023,"$50,001 - $100,000",n/a
Self,GMDPX,Goldman Sachs Short Duration Government Fund Cla,Sale (Partial),08/22/2023,"$50,001 - $100,000",n/a
Self,GSWPX,Goldman Sachs Small/Mid Cap Growth Fund Class P,Sale (Partial),08/31/2023,"$100,001 - $250,000",n/a
Self,GMCPX,Goldman Sachs Short Duration Bond Fund Class P S,Sale (Partial),08/31/2023,"$100,001 - $250,000",n/a
Self,GSWPX,Goldman Sachs Small/Mid Cap Growth Fund Class P,Sale (Partial),09/13/2023,"$100,001 - $250,000",n/a
Self,GMCPX,Goldman Sachs Short Duration Bond Fund Class P S,Sale (Partial),09/13/2023,"$50,001 - $100,000",n/a
Self,GMDPX,Goldman Sachs Short Duration Government Fund Cla,Sale (Partial),09/13/2023,"$50,001 - $100,000",n/a
Self,GSWPX,Goldman Sachs Small/Mid Cap Growth Fund Class P,Sale (Partial),09/25/2023,"$100,001 - $250,000",n/a
Self,GAHPX,Goldman Sachs Emerging Markets Equity Fund Class,Sale (Partial),09/25/2023,"$100,001 - $250,000",n/a
Self,GGLPX,Goldman Sachs High Yield Municipal Fund Class P,Sale (Partial),10/16/2023,"$1,000,001 - $5,000,000",n/a
Self,GGNPX,Goldman Sachs High Yield Floating Rate Fund Clas,Sale (Partial),10/17/2023,"$1,000,001 - $5,000,000",n/a
Self,GCEPX,Goldman Sachs Clean Energy Income Fund Class P S,Sale (Full),11/17/2023,"$250,001 - $500,000",n/a
Self,HYD,VanEck ETF Trust VanEck High Yield Muni ETF,Sale (Full),11/28/2023,"$1,000,001 - $5,000,000",n/a
Self,BKLN,Invesco Senior Loan ETF,Sale (Full),11/29/2023,"$1,000,001 - $5,000,000",n/a
Self,IWD,iShares Russell 1000 Value ETF,Sale (Partial),12/18/2023,"$250,001 - $500,000",n/a
Spouse,--,Solamere Series IV Flagship Fund; LP,Purchase,11/30/2023,"$1,000,001 - $5,000,000",
Spouse,--,Solamere Series IV Leaders Fund; LP,Purchase,11/30/2023,"$1,000,001 - $5,000,000",
