Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,ILCG,iShares Morningstar Large-Cap Growth ETF,Sale (Full),09/28/2023,"$50,001 - $100,000",n/a
Spouse,--,SNVXX SCHWAB GOV'T MONEY FUND,Sale (Partial),10/19/2023,"$1,001 - $15,000",n/a
Spouse,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Sale (Full),10/19/2023,"$15,001 - $50,000",n/a
Self,IGSB,Short-Term Corp Bond Ishares ETF,Sale (Full),10/26/2023,"$1,001 - $15,000",n/a
Spouse,--,91282CFM8 US TREASURY NOTE 4.125% 09/30/2027,Purchase,11/10/2023,"$1,001 - $15,000",n/a
Spouse,--,91282CGR6 US TREASURY NOTE 4.625% 03/15/2026,Purchase,11/10/2023,"$1,001 - $15,000",n/a
Spouse,--,SNVXX SCHWAB GOV'T MONEY FUND,Purchase,11/13/2023,"$15,001 - $50,000",n/a
Self,WPSGX,Ab Cap Fund Inc. - Ab Concentrated Growth Portf,Sale (Partial),11/07/2023,"$1,001 - $15,000",n/a
Spouse,RGHYX,RBC Bluebay High Yield Bond Fund Class I,Purchase,12/27/2023,"$1,001 - $15,000",n/a
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Sale (Partial),12/01/2023,"$50,001 - $100,000",n/a
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Sale (Full),12/21/2023,"$500,001 - $1,000,000",n/a
Self,--,SNVXX SCHWAB GOV'T MONEY FUND,Purchase,12/21/2023,"$15,001 - $50,000",n/a
Self,MUB,iShares National Muni Bond ETF,Purchase,12/21/2023,"$500,001 - $1,000,000",n/a
Self,--,912796Y45 US TREASURY BILL 5.28% 06/27/2024,Purchase,12/26/2023,"$1,001 - $15,000",n/a
