Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,--,New Perspective Fund-529A,Sale (Full),11/29/2023,"$1,001 - $15,000",n/a
Self,--,The Investment Company of America-529A,Purchase,11/29/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Newton Equity Income A,Purchase,10/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/American Funds Growth A,Purchase,10/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/T. Rowe Price Capital Appreciation A,Purchase,10/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Dow Index A,Purchase,10/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Healthcare Sector A,Purchase,10/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Nasdaq 100 Index A,Purchase,10/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Information Technology Sector A,Purchase,10/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/T. Rowe Price Established Growth A,Purchase,10/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/JPMorgan MidCap Growth A,Purchase,10/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/T.Rowe Price Capital Appreciation A,Purchase,11/18/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Healthcare Sector A,Purchase,11/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/T.Rowe Price Established Growth A,Purchase,11/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/JPMorgan MidCap Growth A,Purchase,11/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Dow Index A,Purchase,11/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Information Technology Sector A,Purchase,11/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Newton Equity Income A,Purchase,11/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/American Funds Growth A,Purchase,11/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Nasdaq 100 Index A,Purchase,11/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/T.Rowe Price Established Growth Fund A,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/JPMorgan MidCap Growth A,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Healthcare Sector A,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/T.Rowe Price Capital Appreciation A,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Information Technology Sector A,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Dow Index A,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Newton Equity Income A,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/Mellon Nasdaq 100 Index A,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,--,JNL/American Funds Growth A,Purchase,12/28/2023,"$1,001 - $15,000",n/a
Self,PGSIX,Putnam Mortgage Securities Fund Class A,Sale (Full),01/12/2023,"$1,001 - $15,000",n/a
Self,PGEOX,George Putnam Balanced Class A,Sale (Full),01/12/2023,"$1,001 - $15,000",n/a
Self,PGSIX,Putnam Mortgage Securities Fund Class A,Sale (Full),01/12/2023,"$1,001 - $15,000",n/a
Self,PABAX,Putnam Dynamic Asset Allocation Fund Balanced A,Sale (Full),01/12/2023,"$1,001 - $15,000",n/a
Self,PGEOX,George Putnam Balanced Class A,Sale (Full),01/12/2023,"$1,001 - $15,000",n/a
Self,PGSIX,Putnam Mortgage Securities Fund Class A,Sale (Full),01/12/2023,"$1,001 - $15,000",n/a
Self,PABAX,Putnam Dynamic Asset Allocation Fund Balanced A,Sale (Full),01/12/2023,"$1,001 - $15,000",n/a
Self,ANWPX,New Perspective Fund Class A Shares,Purchase,12/14/2023,"$1,001 - $15,000",n/a
Self,ANWPX,New Perspective Fund Class A Shares,Purchase,12/14/2023,"$1,001 - $15,000",n/a
