roll_number,member_full,first_name,last_name,party,state,lis_member_id,vote_cast
1,Sinema (I-AZ),Kyrsten,Sinema,I,AZ,S403,Yea
1,Smith (D-MN),Tina,Smith,D,MN,S394,Yea
1,Stabenow (D-MI),Debbie,Stabenow,D,MI,S284,Yea
1,Sullivan (R-AK),Dan,Sullivan,R,AK,S383,Nay
1,Tester (D-MT),Jon,Tester,D,MT,S314,Yea
1,Thune (R-SD),John,Thune,R,SD,S303,Nay
1,Tillis (R-NC),Thomas,Tillis,R,NC,S384,Yea
1,Tuberville (R-AL),Tommy,Tuberville,R,AL,S412,Nay
1,Van Hollen (D-MD),Chris,Van Hollen,D,MD,S390,Yea
1,Vance (R-OH),J.,Vance,R,OH,S421,Nay
1,Warner (D-VA),Mark,Warner,D,VA,S327,Yea
1,Warnock (D-GA),Raphael,Warnock,D,GA,S415,Yea
1,Warren (D-MA),Elizabeth,Warren,D,MA,S366,Yea
1,Welch (D-VT),Peter,Welch,D,VT,S422,Yea
1,Whitehouse (D-RI),Sheldon,Whitehouse,D,RI,S316,Yea
1,Wicker (R-MS),Roger,Wicker,R,MS,S318,Yea
1,Wyden (D-OR),Ron,Wyden,D,OR,S247,Yea
1,Young (R-IN),Todd,Young,R,IN,S391,Yea
2,Baldwin (D-WI),Tammy,Baldwin,D,WI,S354,Yea
2,Barrasso (R-WY),John,Barrasso,R,WY,S317,Yea
2,Bennet (D-CO),Michael,Bennet,D,CO,S330,Yea
2,Blackburn (R-TN),Marsha,Blackburn,R,TN,S396,Yea
2,Blumenthal (D-CT),Richard,Blumenthal,D,CT,S341,Yea
2,Booker (D-NJ),Cory,Booker,D,NJ,S370,Yea
2,Boozman (R-AR),John,Boozman,R,AR,S343,Yea
2,Braun (R-IN),Mike,Braun,R,IN,S397,Yea
2,Britt (R-AL),Katie,Britt,R,AL,S416,Yea
2,Brown (D-OH),Sherrod,Brown,D,OH,S307,Yea
2,Budd (R-NC),Ted,Budd,R,NC,S417,Yea
2,Cantwell (D-WA),Maria,Cantwell,D,WA,S275,Yea
2,Capito (R-WV),Shelley,Capito,R,WV,S372,Yea
2,Cardin (D-MD),Ben,Cardin,D,MD,S308,Yea
2,Carper (D-DE),Thomas,Carper,D,DE,S277,Yea
2,Casey (D-PA),Bob,Casey,D,PA,S309,Yea
2,Cassidy (R-LA),Bill,Cassidy,R,LA,S373,Yea
2,Collins (R-ME),Susan,Collins,R,ME,S252,Yea
2,Coons (D-DE),Christopher,Coons,D,DE,S337,Yea
2,Cornyn (R-TX),John,Cornyn,R,TX,S287,Yea
2,Cortez Masto (D-NV),Catherine,Cortez Masto,D,NV,S385,Yea
2,Cotton (R-AR),Tom,Cotton,R,AR,S374,Yea
2,Cramer (R-ND),Kevin,Cramer,R,ND,S398,Yea
2,Crapo (R-ID),Mike,Crapo,R,ID,S266,Yea
2,Cruz (R-TX),Ted,Cruz,R,TX,S355,Yea
2,Daines (R-MT),Steve,Daines,R,MT,S375,Yea
2,Duckworth (D-IL),Tammy,Duckworth,D,IL,S386,Yea
2,Durbin (D-IL),Richard,Durbin,D,IL,S253,Yea
2,Ernst (R-IA),Joni,Ernst,R,IA,S376,Yea
2,Feinstein (D-CA),Dianne,Feinstein,D,CA,S221,Not Voting
2,Fetterman (D-PA),John,Fetterman,D,PA,S418,Yea
2,Fischer (R-NE),Deb,Fischer,R,NE,S357,Yea
2,Gillibrand (D-NY),Kirsten,Gillibrand,D,NY,S331,Yea
2,Graham (R-SC),Lindsey,Graham,R,SC,S293,Not Voting
2,Grassley (R-IA),Chuck,Grassley,R,IA,S153,Yea
2,Hagerty (R-TN),Bill,Hagerty,R,TN,S407,Yea
2,Hassan (D-NH),Maggie,Hassan,D,NH,S388,Yea
2,Hawley (R-MO),Josh,Hawley,R,MO,S399,Yea
2,Heinrich (D-NM),Martin,Heinrich,D,NM,S359,Yea
2,Hickenlooper (D-CO),John,Hickenlooper,D,CO,S408,Yea
2,Hirono (D-HI),Mazie,Hirono,D,HI,S361,Yea
2,Hoeven (R-ND),John,Hoeven,R,ND,S344,Yea
2,Hyde-Smith (R-MS),Cindy,Hyde-Smith,R,MS,S395,Yea
2,Johnson (R-WI),Ron,Johnson,R,WI,S345,Not Voting
2,Kaine (D-VA),Timothy,Kaine,D,VA,S362,Yea
2,Kelly (D-AZ),Mark,Kelly,D,AZ,S406,Yea
2,Kennedy (R-LA),John,Kennedy,R,LA,S389,Yea
2,King (I-ME),Angus,King,I,ME,S363,Yea
2,Klobuchar (D-MN),Amy,Klobuchar,D,MN,S311,Yea
2,Lankford (R-OK),James,Lankford,R,OK,S378,Yea
2,Lee (R-UT),Mike,Lee,R,UT,S346,Yea
2,Lujan (D-NM),Ben,Lujan,D,NM,S409,Yea
