Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Joint,SPY,SPDR S&P 500,Sale (Partial),04/21/2023,"$1,000,001 - $5,000,000"
Joint,VTI,Vanguard Total Stock Market ETF,Purchase,04/21/2023,"$1,000,001 - $5,000,000"
