Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,FLRN,Investment Growth Floating Rate ETF SPDR,Sale (Full),05/03/2023,"$1,001 - $15,000"
Self,GLD,SPDR Gold Trust,Purchase,05/03/2023,"$1,001 - $15,000"
Self,HACK,ETFMG Prime Cyber Security ETF,Purchase,05/03/2023,"$1,001 - $15,000"
Self,FLOT,iShares Floating Rate Bond ETF,Sale (Full),05/03/2023,"$1,001 - $15,000"
Self,XSW,SPDR S&P Software & Services ETF,Purchase,10/04/2023,"$1,001 - $15,000"
Self,VAW,Vanguard Materials ETF,Purchase,10/04/2023,"$1,001 - $15,000"
