Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,VWO,Vanguard FTSE Emerging Markets ETF,Purchase,03/23/2023,"$1,001 - $15,000"
Self,VEA,Vanguard FTSE Developed Markets ETF,Purchase,03/23/2023,"$15,001 - $50,000"
Self,PIREX,Principal Fds Inc. Real Estate Securities Fd IN,Purchase,03/17/2023,"$1,001 - $15,000"
Self,RSP,Invesco S&P 500 Equal Weight ETF,Purchase,03/10/2023,"$500,001 - $1,000,000"
Self,VWSUX,Vanguard Short-Term Tax-Exempt Fd Admiral,Purchase,03/01/2023,"$1,001 - $15,000"
Self,BSIIX,Blackrock Strategic Income Opportunities Portfol,Purchase,03/01/2023,"$1,001 - $15,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,03/01/2023,"$1,001 - $15,000"
Self,PIMIX,Pimco Income Fund Insti Class,Purchase,02/28/2023,"$15,001 - $50,000"
Self,GWMIX,Amg GW&K Municipal Bond Fund - Class I,Purchase,02/27/2023,"$1,001 - $15,000"
Self,VWSUX,Vanguard Short-Term Tax-Exempt Fd Admiral,Purchase,02/01/2023,"$1,001 - $15,000"
Self,BSIIX,Blackrock Strategic Income Opportunities Portfol,Purchase,02/01/2023,"$1,001 - $15,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,02/01/2023,"$1,001 - $15,000"
Self,SPY,SPDR S&P 500,Purchase,01/31/2023,"$50,001 - $100,000"
Self,PIMIX,Pimco Income Fund Insti Class,Purchase,01/31/2023,"$1,001 - $15,000"
Self,GWMIX,Amg GW&K Municipal Bond Fund - Class I,Purchase,01/30/2023,"$1,001 - $15,000"
Self,VWSUX,Vanguard Short-Term Tax-Exempt Fd Admiral,Purchase,01/03/2023,"$1,001 - $15,000"
Self,BSIIX,Blackrock Strategic Income Opportunities Portfol,Purchase,01/03/2023,"$1,001 - $15,000"
Self,VWIUX,Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Purchase,01/03/2023,"$1,001 - $15,000"
Self,--,Radcliff Feeder I LLC,Purchase,05/03/2023,"$1,001 - $15,000"
Spouse,RSP,Invesco S&P 500 Equal Weight ETF,Purchase,08/24/2023,"$50,001 - $100,000"
Self,RSP,Invesco S&P 500 Equal Weight ETF,Purchase,03/10/2023,"$500,001 - $1,000,000"
Spouse,AKRIX,Akre Focus - Institutional,Purchase,12/12/2023,"$15,001 - $50,000"
Self,--,Haveli VC Gaming Fund I; LP,Purchase,04/19/2023,"$250,001 - $500,000"
Self,--,Apollo Credit Fund; LP,Sale (Full),04/30/2023,"$1,000,001 - $5,000,000"
Self,--,Avasa Grove West,Purchase,09/22/2023,"$250,001 - $500,000"
Self,--,The Grove at Clermont,Purchase,10/06/2023,"$250,001 - $500,000"
