Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Joint,VTI,Vanguard Total Stock Market ETF,Sale (Full),06/23/2023,"$1,001 - $15,000"
Joint,--,CHXF -Wisdomtree Tr Chanadiv Ex Fi (CHXF),Sale (Full),06/20/2023,"$1,001 - $15,000"
Joint,WWSYX,Westwood Smallcap Fund Class Y,Purchase,06/26/2023,"$1,001 - $15,000"
Joint,DBLEX,Doubleline Emerging Markets Income Fund Class I,Purchase,06/26/2023,"$1,001 - $15,000"
Joint,FEP,First Trust Europe AlphaDEX Fund,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,EMLP,First Trust North American Energy Infrastructure F,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,FLJP,Franklin FTSE Japan ETF,Purchase,06/20/2023,"$1,001 - $15,000"
Joint,FLJP,Franklin FTSE Japan ETF,Purchase,06/21/2023,"$1,001 - $15,000"
Joint,GEM,Goldman Sachs ActiveBeta Emerging Markets Equity E,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,GIGB,Goldman Sachs Access Investment Grade Corporate Bo,Purchase,06/23/2023,"$15,001 - $50,000"
Joint,GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,Purchase,06/13/2023,"$15,001 - $50,000"
Joint,GBIL,Goldman Sachs Access Treasury 0-1 Year ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,AGZ,iShares  Agency Bond ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,MBB,iShares MBS ETF,Purchase,06/13/2023,"$15,001 - $50,000"
Joint,MBB,iShares MBS ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,TLT,iShares 20+ Year Treasury Bond ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,IEI,iShares 3-7 Year Treasury Bond ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,CMBS,iShares CMBS Bond ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,TLH,iShares 10-20 Year Treasury Bond ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,SHY,iShares 1-3 Year Treasury Bond ETF,Purchase,06/13/2023,"$1,001 - $15,000"
Joint,SHY,iShares 1-3 Year Treasury Bond ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,IEF,iShares 7-10 Year Treasury Bond ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,IWM,iShares Russell 2000 ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,JMBS,Janus Henderson Mortgage-Backed Securities ETF,Purchase,06/23/2023,"$15,001 - $50,000"
Joint,NMVZX,Nuance Mid Cap Value Fund Z Class,Purchase,06/26/2023,"$1,001 - $15,000"
Joint,TPYP,Tortoise North American Pipeline ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,SCHP,Schwab U.S. TIPS ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,SWKS,Skyworks Solutions; Inc. - Common Stock,Purchase,06/29/2023,"$1,001 - $15,000"
Joint,MDY,SPDR MidCap Trust Series I,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,SPY,S&P 500 SPDR,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,KRE,SPDR S&P Regional Banking ETF,Purchase,06/23/2023,"$1,001 - $15,000"
Joint,EMRZX,Emerging Markets Fund Class Z,Purchase,06/26/2023,"$15,001 - $50,000"
Joint,VEA,Vanguard FTSE Developed Markets ETF,Purchase,06/23/2023,"$15,001 - $50,000"
Joint,IEI,iShares 3-7 Year Treasury Bond ETF,Sale (Partial),07/06/2023,"$1,001 - $15,000"
Joint,TLT,iShares 20+ Year Treasury Bond ETF,Purchase,07/06/2023,"$1,001 - $15,000"
