Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Joint,--,FJCRRX FIRST TRUST CBOE VEST LARGE CAP DEEP BUFFERED 20; 39,Purchase,08/24/2023,"$1,001 - $15,000"
Joint,--,FZBZQX FIRST TRUST CBOE VEST LARGE CAP DEEP BUFFERED 30; 12,Purchase,08/29/2023,"$1,001 - $15,000"
