Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Self,VO,Vanguard Mid-Cap ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,SPHY,SPDR Portfolio High Yield Bond ETF,Purchase,10/05/2023,"$15,001 - $50,000"
Self,VIS,Vanguard Industrials ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,VDE,Vanguard Energy ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,VEA,Vanguard FTSE Developed Markets ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,VMBS,Vanguard Mortgage-Backed Securities ETF,Purchase,10/05/2023,"$15,001 - $50,000"
Self,VGT,Vanguard Information Tech ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,VB,Vanguard Small-Cap ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,VFH,Vanguard Financials ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,BNDX,Vanguard Total International Bond ETF,Purchase,10/05/2023,"$1,001 - $15,000"
Self,BND,Vanguard Total Bond Market ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,VTIP,Vanguard Short-Term Inflation-Protected Securities,Purchase,10/05/2023,"$15,001 - $50,000"
Self,VHT,Vanguard Health Care ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,VWO,Vanguard FTSE Emerging Markets ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,VCR,Vanguard Consumer Discretion ETF,Sale (Partial),10/05/2023,"$1,001 - $15,000"
Self,JNK,SPDR Bloomberg High Yield Bond ETF,Sale (Full),10/05/2023,"$15,001 - $50,000"
Self,BSV,Vanguard Short-Term Bond ETF,Purchase,10/05/2023,"$1,001 - $15,000"
Self,VNQ,Vanguard Real Estate ETF,Purchase,10/05/2023,"$1,001 - $15,000"
Self,IAU,Gold Trust Ishares,Purchase,10/05/2023,"$1,001 - $15,000"
Self,JNK,SPDR Bloomberg High Yield Bond ETF,Purchase,03/17/2023,"$1,001 - $15,000"
Self,IAU,Gold Trust Ishares,Sale (Partial),03/17/2023,"$1,001 - $15,000"
Self,BSV,Vanguard Short-Term Bond ETF,Purchase,03/17/2023,"$1,001 - $15,000"
Self,VGT,Vanguard Information Tech ETF,Sale (Partial),03/17/2023,"$1,001 - $15,000"
Self,VDE,Vanguard Energy ETF,Purchase,03/17/2023,"$1,001 - $15,000"
Self,BND,Vanguard Total Bond Market ETF,Purchase,03/17/2023,"$1,001 - $15,000"
Self,VFH,Vanguard Financials ETF,Purchase,03/17/2023,"$1,001 - $15,000"
Self,VTIP,Vanguard Short-Term Inflation-Protected Securities,Purchase,03/17/2023,"$1,001 - $15,000"
Self,VEA,Vanguard FTSE Developed Markets ETF,Sale (Partial),03/17/2023,"$1,001 - $15,000"
Self,SPHY,SPDR Portfolio High Yield Bond ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000"
Self,VIS,Vanguard Industrials ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000"
Self,VNQ,Vanguard Real Estate ETF,Purchase,11/14/2023,"$1,001 - $15,000"
Self,VO,Vanguard Mid-Cap ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000"
Self,VTIP,Vanguard Short-Term Inflation-Protected Securities,Purchase,11/14/2023,"$15,001 - $50,000"
Self,VB,Vanguard Small-Cap ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000"
Self,VDE,Vanguard Energy ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000"
Self,BNDX,Vanguard Total International Bond ETF,Purchase,11/14/2023,"$1,001 - $15,000"
Self,VFH,Vanguard Financials ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000"
Self,VMBS,Vanguard Mortgage-Backed Securities ETF,Purchase,11/14/2023,"$15,001 - $50,000"
Self,BND,Vanguard Total Bond Market ETF,Sale (Partial),11/14/2023,"$15,001 - $50,000"
Self,VCR,Vanguard Consumer Discretion ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000"
Self,VGT,Vanguard Information Tech ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000"
Self,BSV,Vanguard Short-Term Bond ETF,Purchase,11/14/2023,"$1,001 - $15,000"
Self,VCR,Vanguard Consumer Discretion ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000"
Self,SPHY,SPDR Portfolio High Yield Bond ETF,Purchase,06/15/2023,"$100,001 - $250,000"
Self,BSV,Vanguard Short-Term Bond ETF,Purchase,06/15/2023,"$15,001 - $50,000"
Self,VFH,Vanguard Financials ETF,Purchase,06/15/2023,"$1,001 - $15,000"
Self,IAU,Gold Trust Ishares,Purchase,06/15/2023,"$1,001 - $15,000"
Self,VWO,Vanguard FTSE Emerging Markets ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000"
Self,VHT,Vanguard Health Care ETF,Purchase,06/15/2023,"$1,001 - $15,000"
Self,VNQ,Vanguard Real Estate ETF,Purchase,06/15/2023,"$1,001 - $15,000"
Self,VEA,Vanguard FTSE Developed Markets ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000"
Self,VOX,Vanguard Communication Services  ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000"
Self,VO,Vanguard Mid-Cap ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000"
Self,BNDX,Vanguard Total International Bond ETF,Purchase,06/15/2023,"$1,001 - $15,000"
Self,VGT,Vanguard Information Tech ETF,Sale (Partial),06/15/2023,"$15,001 - $50,000"
Self,BND,Vanguard Total Bond Market ETF,Purchase,06/15/2023,"$15,001 - $50,000"
Self,VMBS,Vanguard Mortgage-Backed Securities ETF,Purchase,06/15/2023,"$1,001 - $15,000"
Self,VIS,Vanguard Industrials ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000"
Self,VB,Vanguard Small-Cap ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000"
Self,VTIP,Vanguard Short-Term Inflation-Protected Securities,Purchase,06/15/2023,"$15,001 - $50,000"
Self,VNQI,Vanguard Global ex-U.S. Real Estate ETF,Purchase,06/15/2023,"$1,001 - $15,000"
Self,JNK,SPDR Bloomberg High Yield Bond ETF,Sale (Full),06/15/2023,"$100,001 - $250,000"
Self,VDE,Vanguard Energy ETF,Purchase,06/15/2023,"$1,001 - $15,000"
Self,VOX,Vanguard Communication Services  ETF,Purchase,01/17/2023,"$1,001 - $15,000"
Self,VWO,Vanguard FTSE Emerging Markets ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000"
Self,VEA,Vanguard FTSE Developed Markets ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000"
Self,IAU,Gold Trust Ishares,Sale (Partial),01/17/2023,"$1,001 - $15,000"
Self,BND,Vanguard Total Bond Market ETF,Purchase,01/17/2023,"$1,001 - $15,000"
Self,VTIP,Vanguard Short-Term Inflation-Protected Securities,Purchase,01/17/2023,"$1,001 - $15,000"
Self,VNQ,Vanguard Real Estate ETF,Purchase,01/17/2023,"$1,001 - $15,000"
Self,VDE,Vanguard Energy ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000"
Self,VGT,Vanguard Information Tech ETF,Purchase,01/17/2023,"$1,001 - $15,000"
Self,BNDX,Vanguard Total International Bond ETF,Purchase,01/17/2023,"$1,001 - $15,000"
Self,VFH,Vanguard Financials ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000"
Self,VIS,Vanguard Industrials ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000"
Self,VHT,Vanguard Health Care ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000"
Self,VCR,Vanguard Consumer Discretion ETF,Purchase,01/17/2023,"$1,001 - $15,000"
Self,VMBS,Vanguard Mortgage-Backed Securities ETF,Purchase,01/17/2023,"$1,001 - $15,000"
