Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Spouse,--,Scholar's Edge Fixed Income Portfolio A,Sale (Partial),09/20/2023,"$1,001 - $15,000"
Spouse,--,Scholar's Edge Today Portfolio A,Sale (Partial),09/20/2023,"$1,001 - $15,000"
Spouse,--,Scholar's Edge Fixed Income Portfolio A,Sale (Partial),11/15/2023,"$1,001 - $15,000"
Spouse,--,Scholar's Edge Aggressive Portfolio A,Sale (Partial),11/15/2023,"$1,001 - $15,000"
Spouse,--,Scholar's Edge Fixed Income Portfolio A,Sale (Partial),11/21/2023,"$1,001 - $15,000"
Self,--,AB VPS Intl Value Port,Sale (Partial),01/06/2023,"$1,001 - $15,000"
Self,--,Put VT Intl Equity,Sale (Partial),01/06/2023,"$1,001 - $15,000"
Self,--,Htfd Intl Opp HLS,Sale (Partial),01/06/2023,"$1,001 - $15,000"
Self,--,AB VPS Grwth and Inc Port,Sale (Partial),01/06/2023,"$1,001 - $15,000"
Self,--,InvescoV.I. Comstock Fund,Sale (Partial),01/06/2023,"$1,001 - $15,000"
Self,--,Fidelity VIP Equity-Incm,Sale (Partial),01/06/2023,"$1,001 - $15,000"
Self,--,Putnam VT Small Cap Value,Purchase,01/06/2023,"$1,001 - $15,000"
Self,--,Invesco Main St Small Cap,Purchase,01/06/2023,"$1,001 - $15,000"
Self,--,Fidelity VIP Grwth,Purchase,01/06/2023,"$1,001 - $15,000"
Self,--,Invesco Capital App Fund,Purchase,01/06/2023,"$1,001 - $15,000"
Self,--,Htfd Ttl Return Bond HLS,Purchase,01/06/2023,"$1,001 - $15,000"
Self,--,Htfd Disciplined Eqty HLS,Purchase,01/06/2023,"$1,001 - $15,000"
Self,--,Htfd Disciplined Eqty HLS,Sale (Partial),04/06/2023,"$1,001 - $15,000"
Self,--,Put VT Intl Equity,Sale (Partial),04/06/2023,"$1,001 - $15,000"
Self,--,AB VPS Intl Value Port,Sale (Partial),04/06/2023,"$1,001 - $15,000"
Self,--,Invesco Capital App Fund,Sale (Partial),04/06/2023,"$1,001 - $15,000"
Self,--,Fidelity VIP Grwth,Sale (Partial),04/06/2023,"$1,001 - $15,000"
Self,--,Htfd Ttl Return Bond HLS,Sale (Partial),04/06/2023,"$1,001 - $15,000"
Self,--,Htfd Intl Opp HLS,Purchase,04/06/2023,"$1,001 - $15,000"
Self,--,Fidelity VIP Equity-Incm,Purchase,04/06/2023,"$1,001 - $15,000"
Self,--,InvescoV.I. Comstock Fund,Purchase,04/06/2023,"$1,001 - $15,000"
Self,--,Invesco Main St Small Cap,Purchase,04/06/2023,"$1,001 - $15,000"
Self,--,AB VPS Relative Value Portfolio,Purchase,04/06/2023,"$1,001 - $15,000"
Self,--,Putnam VT Small Cap Value,Purchase,04/06/2023,"$1,001 - $15,000"
Self,--,Htfd Disciplined Eqty HLS,Sale (Partial),07/06/2023,"$1,001 - $15,000"
Self,--,Putnam VT Small Cap Value,Sale (Partial),07/06/2023,"$1,001 - $15,000"
Self,--,Invesco Capital App Fund,Sale (Partial),07/06/2023,"$1,001 - $15,000"
Self,--,Fidelity VIP Grwth,Sale (Partial),07/06/2023,"$1,001 - $15,000"
Self,--,Invesco Main St Small Cap,Sale (Partial),07/06/2023,"$1,001 - $15,000"
Self,--,InvescoV.I. Comstock Fund,Purchase,07/06/2023,"$1,001 - $15,000"
Self,--,AB VPS Relative Value Portfolio,Purchase,07/06/2023,"$1,001 - $15,000"
Self,--,Fidelity VIP Equity-Incm,Purchase,07/06/2023,"$1,001 - $15,000"
Self,--,Htfd Intl Opp HLS,Purchase,07/06/2023,"$1,001 - $15,000"
Self,--,AB VPS Intl Value Port,Purchase,07/06/2023,"$1,001 - $15,000"
Self,--,PUT VT Intl Equity,Purchase,07/06/2023,"$1,001 - $15,000"
Self,--,Htfd Ttl Return Bond HLS,Purchase,07/06/2023,"$1,001 - $15,000"
Self,--,Putnam VT Small Cap Value,Sale (Partial),10/06/2023,"$1,001 - $15,000"
Self,--,AB VPS Relative Value Portfolio,Sale (Partial),10/06/2023,"$1,001 - $15,000"
Self,--,Htfd Disciplined Eqty HLS,Sale (Partial),10/06/2023,"$1,001 - $15,000"
Self,--,Fidelity VIP Grwth,Sale (Partial),10/06/2023,"$1,001 - $15,000"
