Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Spouse,REMSX,Emerging Markets Fund Class S,Sale (Full),01/31/2023,"$1,001 - $15,000"
Spouse,RFCTX,Strategic Bond Fund Class S,Sale (Full),01/31/2023,"$1,001 - $15,000"
Spouse,RGCSX,Opportunistic Credit Fund Class S,Sale (Full),01/31/2023,"$1,001 - $15,000"
Spouse,RGESX,Global Equity Fund Class S,Sale (Full),01/31/2023,"$1,001 - $15,000"
Spouse,RINTX,International Developed Markets Fund Class S,Sale (Full),01/31/2023,"$1,001 - $15,000"
Spouse,RLESX,U.S. Small Cap Equity Fund Class S,Sale (Full),01/31/2023,"$1,001 - $15,000"
Spouse,RMGSX,Multi-Asset Growth Strategy Fund - Class S,Sale (Full),01/31/2023,"$1,001 - $15,000"
Spouse,RSESX,U.S. Strategic Equity Fund Class S,Sale (Full),01/31/2023,"$1,001 - $15,000"
Spouse,GSLC,Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,Purchase,02/02/2023,"$1,001 - $15,000"
Spouse,--,QQQM  - Invesco NASDAQ 100 ETF,Purchase,02/02/2023,"$1,001 - $15,000"
Spouse,IYW,iShares U.S. Technology ETF,Purchase,02/02/2023,"$1,001 - $15,000"
Spouse,IYG,iShares U.S. Financial Services ETF,Purchase,02/02/2023,"$1,001 - $15,000"
Spouse,IJR,iShares Core S&P Small-Cap ETF,Purchase,02/02/2023,"$1,001 - $15,000"
Spouse,EFV,iShares MSCI EAFE Value ETF,Purchase,02/02/2023,"$1,001 - $15,000"
Spouse,SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,Purchase,02/02/2023,"$1,001 - $15,000"
Spouse,JEPI,JPM Equity Premium Income ETF,Purchase,02/02/2023,"$1,001 - $15,000"
Spouse,--,IEMG - iShares Core MSCI Emerging Markets ETF,Purchase,02/02/2023,"$1,001 - $15,000"
Spouse,MOTI,VanEck Morningstar International Moat ETF,Purchase,02/02/2023,"$1,001 - $15,000"
Spouse,IEFA,iShares Core MSCI EAFE ETF,Purchase,06/01/2023,"$1,001 - $15,000"
Spouse,--,GSLC - GS Activebeta US Largecap ETF,Sale (Partial),08/07/2023,"$1,001 - $15,000"
Spouse,IGLB,iShares 10  Year Investment Grade Corporate Bond E,Purchase,08/07/2023,"$1,001 - $15,000"
Spouse,HDUS,Lattice Strategies Trust Hartford Disciplined US E,Purchase,08/07/2023,"$1,001 - $15,000"
Spouse,--,FNSXX - FIMM Money Market Port Instl Cl M/M,Purchase,02/16/2023,"$100,001 - $250,000"
Spouse,--,FNSXX - FIMM Money Market Port Instl Cl M/M,Purchase,11/01/2023,"$1,001 - $15,000"
Joint,--,FNSXX - FIMM Money Market Port Instl Cl M/M,Purchase,02/10/2023,"$1,001 - $15,000"
Self,--,FNSXX - FIMM Money Market Port Instl Cl M/M,Purchase,03/07/2023,"$15,001 - $50,000"
Self,--,FNSXX - FIMM Money Market Port Instl Cl M/M,Purchase,02/16/2023,"$50,001 - $100,000"
