Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,T,AT&T Inc,Stock,Sale (Full),09/20/2023,"$15,001 - $50,000"
Self,TSLA,Tesla Inc,Stock,Purchase,09/20/2023,"$1,001 - $15,000"
Self,SQ,Block; Inc. Class A Common Stock;,Stock,Sale (Full),09/20/2023,"$1,001 - $15,000"
Self,WBD,Warner Bros. Discovery; Inc. - Series A Common Sto,Stock,Sale (Full),09/20/2023,"$1,001 - $15,000"
Self,LLY,Eli Lilly and Company,Stock,Purchase,09/20/2023,"$15,001 - $50,000"
Spouse,JNJ,Johnson & Johnson Common Stock (Exchanged)Kenvue Inc. Common Stock (Received),Stock,Exchange,08/24/2023,"$1,001 - $15,000"
Self,JNJ,Johnson & Johnson Common Stock (Exchanged)Kenvue Inc. Common Stock (Received),Stock,Exchange,08/24/2023,"$1,001 - $15,000"
Spouse,ESS,Essex Property Trust; Inc. Common Stock,Stock,Sale (Full),04/18/2023,"$1,001 - $15,000"
Self,ESS,Essex Property Trust; Inc. Common Stock,Stock,Sale (Full),04/18/2023,"$1,001 - $15,000"
Spouse,C,Citigroup; Inc. Common Stock,Stock,Sale (Full),11/29/2022,"$1,001 - $15,000"
Self,C,Citigroup; Inc. Common Stock,Stock,Sale (Full),11/29/2022,"$1,001 - $15,000"
Spouse,T,AT&T Inc. (Exchanged)Warner Bros. Discovery; Inc. - Series A Common Sto (Received),Stock,Exchange,04/11/2022,"$1,001 - $15,000"
Self,T,AT&T Inc. (Exchanged)Warner Bros. Discovery; Inc. - Series A Common Sto (Received),Stock,Exchange,04/11/2022,"$1,001 - $15,000"
Self,TGT,Target Corporation Common Stock,Stock,Purchase,01/28/2022,"$15,001 - $50,000"
Self,TSLA,Tesla; Inc. - Common Stock,Stock,Purchase,01/28/2022,"$15,001 - $50,000"
Spouse,BABA,Alibaba Group Holding Limited American Depositary,Stock,Sale (Full),08/30/2021,"$1,001 - $15,000"
Joint,--,MACYS RETAIL HLDGS INCRate/Coupon:3.875%Matures:01/15/2022,Corporate Bond,Sale (Full),08/27/2021,"$15,001 - $50,000"
Joint,MCHP,Microchip Technology Incorporated - Common Stock,Stock,Sale (Full),08/30/2021,"$15,001 - $50,000"
Joint,T,AT&T Inc.,Stock,Sale (Full),08/30/2021,"$15,001 - $50,000"
Joint,--,XEROX CORPRate/Coupon:4.5%Matures:05/15/21,Corporate Bond,Sale (Partial),10/13/2020,"$1,001 - $15,000"
Self,FTV,Fortive Corporation (Exchanged)Vontier Corporation (Received),Stock,Exchange,10/09/2020,"$1,001 - $15,000"
Joint,--,Genl Motors Financial Co IncRate/Coupon:3.2%Matures:07/06/2021,Corporate Bond,Sale (Full),06/07/2021,"$15,001 - $50,000"
Self,INTC,Intel Corporation,Stock,Sale (Full),04/28/2021,"$15,001 - $50,000"
Joint,--,GENERAL ELECTRIC CO FIXED TO 012021Rate/Coupon:5.0%Matures:04/07/2061,Corporate Bond,Sale (Full),04/07/2021,"$15,001 - $50,000"
Joint,--,XEROX CORPRate/Coupon:4.5%Matures:05/15/2021,Corporate Bond,Sale (Full),12/30/2020,"$1,001 - $15,000"
Joint,CB,Chubb Limited,Stock,Sale (Full),09/09/2020,"$15,001 - $50,000"
Joint,TT,Trane Technologies plc,Stock,Sale (Full),09/30/2020,"$15,001 - $50,000"
Self,TT,Trane Technologies plc,Stock,Sale (Full),09/30/2020,"$15,001 - $50,000"
Self,IBM,International Business Machines Corporation,Stock,Sale (Full),07/05/2019,"$1,001 - $15,000"
Spouse,IBM,International Business Machines Corporation,Stock,Sale (Full),07/05/2019,"$1,001 - $15,000"
Joint,RTN,Raytheon Company (Exchanged)Raytheon Technologies Corporation (Received),Stock,Exchange,04/03/2020,"$15,001 - $50,000"
Self,RTX,UTX - United Technologies Corporation (Exchanged)Raytheon Technologies Corporation (Received),Stock,Exchange,04/03/2020,"$15,001 - $50,000"
Joint,UTX,Raytheon Technologies Corporation (Exchanged)Carrier Global Corporation (Received),Stock,Exchange,04/07/2020,"$1,001 - $15,000"
Joint,UTX,Raytheon Technologies Corporation (Exchanged)Otis Worldwide Corporation (Received),Stock,Exchange,04/07/2020,"$1,001 - $15,000"
Self,UTX,Raytheon Technologies Corporation (Exchanged)Carrier Global Corporation (Received),Stock,Exchange,04/07/2020,"$1,001 - $15,000"
Self,UTX,Raytheon Technologies Corporation (Exchanged)Otis Worldwide Corporation (Received),Stock,Exchange,04/07/2020,"$1,001 - $15,000"
Joint,CARR,Carrier Global Corporation,Stock,Sale (Full),04/07/2020,"$1,001 - $15,000"
Joint,OTIS,Otis Worldwide Corporation,Stock,Sale (Full),04/07/2020,"$1,001 - $15,000"
Self,CARR,Carrier Global Corporation,Stock,Sale (Full),04/07/2020,"$1,001 - $15,000"
Self,OTIS,Otis Worldwide Corporation,Stock,Sale (Full),04/07/2020,"$1,001 - $15,000"
Joint,--,INGERSOLL RAND PLC SHARES (Exchanged)TRANE TECHNOLOGIES PLC (Received),Stock,Exchange,03/04/2020,"$1,001 - $15,000"
Self,--,INGERSOLL RAND PLC SHS (Exchanged)TRANE TECHNOLOGIES PLC (Received),Stock,Exchange,03/04/2020,"$1,001 - $15,000"
Self,ILMN,Illumina; Inc.,Stock,Sale (Full),03/11/2020,"$1,001 - $15,000"
Self,CGNX,Cognex Corporation,Stock,Sale (Full),03/11/2020,"$15,001 - $50,000"
Self,SIEGY,Siemens Aktiengesellschaft,Stock,Sale (Full),03/11/2020,"$15,001 - $50,000"
Self,WM,Waste Management; Inc.,Stock,Sale (Full),02/13/2020,"$15,001 - $50,000"
Self,DLR,Digital Realty Trust; Inc.,Stock,Purchase,02/13/2020,"$15,001 - $50,000"
