Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,CBS,CBS Corporation,Stock,Sale (Full),04/10/2018,"$1,001 - $15,000"
Joint,GE,General Electric Company,Stock,Sale (Full),12/18/2018,"$15,001 - $50,000"
