Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Self,IRT,Independence Realty Trust; Inc. Common Stock,Stock,Sale (Full),05/05/2022,"$15,001 - $50,000"
Self,IRT,Steadfast Income REIT (Exchanged)Independence Realty Trust; Inc. Common Stock (Received),Stock,Exchange,12/16/2021,"$15,001 - $50,000"
