Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Joint,--,Sports FlashesCompany:Sports Flashes (New Delhi; India)Description:Media and technology company that provides sports news and content.,Non-Public Stock,Purchase,09/27/2018,"$1,001 - $15,000"
Joint,--,FakespotCompany:Fakespot (New York; NY)Description:eCommerce technology company that analyzes the reliability of online reviews.,Non-Public Stock,Purchase,08/27/2018,"$1,001 - $15,000"
Joint,--,IndianMoney.comCompany:IndianMoney.com (Bengaluru; India)Description:Financial education and advisory services technology company in India.,Non-Public Stock,Purchase,08/22/2018,"$1,001 - $15,000"
Joint,TNTOF,The Toronto-Dominion BankRate/Coupon:3.25Matures:06/11/2021,Corporate Bond,Purchase,01/31/2019,"$15,001 - $50,000"
Child,NKLA,Nikola Corporation,Stock,Sale (Partial),07/20/2020,"$1,001 - $15,000"
Child,NKLA,Nikola Corporation,Stock,Purchase,07/09/2020,"$1,001 - $15,000"
Child,TSLA,Tesla; Inc.,Stock,Sale (Full),07/07/2020,"$1,001 - $15,000"
Child,TSLA,Tesla; Inc.,Stock,Purchase,07/07/2020,"$1,001 - $15,000"
Self,--,PPL,Stock,Purchase,02/28/2020,"$15,001 - $50,000"
Self,PPL,PPL Corporation,Stock,Purchase,12/10/2019,"$15,001 - $50,000"
Self,GE,General Electric Company,Stock,Sale (Partial),11/05/2019,"$1,001 - $15,000"
Self,ET,Energy Transfer LP,Stock,Sale (Full),11/06/2019,"$1,001 - $15,000"
Child,NDAQ,Nasdaq; Inc.,Stock,Purchase,11/19/2019,"$1,001 - $15,000"
Child,NDAQ,Nasdaq; Inc.,Stock,Sale (Full),11/19/2019,"$1,001 - $15,000"
Joint,BBT,BB&T CorporationRate/Coupon:5.25%Matures:11/01/2019,Corporate Bond,Sale (Full),10/31/2018,"$15,001 - $50,000"
Self,ETP,Energy Transfer Partners; L.P. (Exchanged)Energy Transfer LP (Received),Stock,Exchange,10/19/2018,"$1,001 - $15,000"
Self,--,SANTANDER UK GROUP HOLDINGSRate/Coupon:3.125Matures:01/08/2021,Corporate Bond,Purchase,08/01/2018,"$15,001 - $50,000"
Joint,BBT,BB&T CorporationRate/Coupon:5.25Matures:11/01/2019,Corporate Bond,Purchase,08/01/2018,"$15,001 - $50,000"
Joint,CAPL,CrossAmerica Partners LP,Stock,Sale (Partial),08/22/2018,"$1,001 - $15,000"
Joint,CAPL,CrossAmerica Partners LP,Stock,Sale (Partial),08/09/2018,"$1,001 - $15,000"
Joint,PG,The Procter & Gamble Company,Stock,Sale (Full),08/02/2018,"$15,001 - $50,000"
Joint,GE,General Electric Company,Stock,Sale (Full),09/06/2018,"$1,001 - $15,000"
Joint,REVB,Revere Bank,Stock,Sale (Partial),06/25/2018,"$1,001 - $15,000"
Joint,REVB,Revere Bank,Stock,Sale (Partial),06/06/2018,"$15,001 - $50,000"
Joint,REVB,Revere Bank,Stock,Sale (Partial),05/16/2018,"$1,001 - $15,000"
Joint,BOX,Box; Inc.,Stock,Sale (Full),05/02/2018,"$1,001 - $15,000"
Self,BOX,Box; Inc.,Stock,Purchase,05/02/2018,"$1,001 - $15,000"
