Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Spouse,--,Vera Roasting CorporationCompany:Vera Roasting Corporation (Dover; NH)Description:Coffee Company,Non-Public Stock,Purchase,11/07/2018,"$100,001 - $250,000"
Spouse,--,Diogenes; LLCCompany:Diogenes; LLC (Manchester; NH)Description:Owns commercial rental real property (80 Merrimack Street),Non-Public Stock,Purchase,03/17/2017,"$1,001 - $15,000"
Spouse,--,The Salon LLCCompany:The Salon LLC (Dover; NH )Description:Hair salon,Non-Public Stock,Purchase,12/01/2015,"$15,001 - $50,000"
