Owner,Ticker,Asset Name,Asset Type,Transaction Type,Transaction Date,Amount
Joint,ONEW,OneWater Marine Inc. - Class A Common Stock,Stock,Sale (Full),07/24/2024,"$1,001 - $15,000"
Spouse,--,181-Fairhope Ave 2023; LLCCompany:181-Fairhope Ave 2023; LLC (Daphne; AL)Description:Investment and development of real property in Alabama,Other Securities,Purchase,12/14/2023,"$15,001 - $50,000"
Spouse,--,Mack Bayou Townhomes Holdings; LLC - Class A UnitsCompany:Mack Bayou Townhomes Holdings; LLC (Daphne; AL)Description:Investment and development of residential property in Florida,Other Securities,Purchase,08/25/2023,"$100,001 - $250,000"
